Participating state/Federal,Total offenses,Murder and nonnegligent manslaughter,Rape1,Aggravated assault,Simple assault,Intimidation,Human Trafficking Commercial Sex Acts,Other,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Destruction/damage/vandalism,Other,Crimes against society
Total,"8,559",51,30,"1,158","2,023","2,206",3,41,125,114,284,19,60,"2,152",57,236
Alabama3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,17,0,0,6,6,2,0,0,1,0,0,0,0,2,0,0
Arizona,254,0,0,20,67,110,0,0,0,1,2,0,0,48,2,4
Arkansas,10,0,0,4,0,2,0,0,0,0,2,0,0,2,0,0
California,"1,221",1,3,290,272,264,0,0,35,11,5,1,9,330,0,0
Colorado,257,0,1,46,69,70,2,0,2,5,1,0,0,60,0,1
Connecticut,86,0,0,3,22,37,0,0,2,0,1,0,0,18,1,2
Delaware,27,0,0,2,3,12,0,0,0,0,0,0,0,10,0,0
District of Columbia,247,0,0,43,113,45,0,0,11,0,0,0,0,35,0,0
Florida,131,0,1,23,43,20,0,0,0,2,0,0,2,40,0,0
Georgia,123,0,0,11,47,23,0,3,0,3,8,0,1,24,2,1
Hawaii,51,0,0,7,23,16,0,0,2,0,0,0,0,2,0,1
Idaho,38,0,0,4,12,14,0,0,0,1,1,0,0,4,1,1
Illinois,95,0,0,22,39,24,0,0,4,0,0,0,1,5,0,0
Indiana,87,2,0,6,18,36,1,0,0,1,2,0,0,19,1,1
Iowa,13,0,0,2,4,3,0,0,0,0,1,0,0,3,0,0
Kansas,99,0,0,8,15,26,0,2,0,5,9,0,1,22,3,8
Kentucky,179,0,0,9,40,66,0,0,2,7,5,1,3,34,2,10
Louisiana,33,0,0,5,9,5,0,0,0,2,4,1,0,2,0,5
Maine,24,0,0,0,3,17,0,0,0,0,0,0,0,4,0,0
Maryland,18,0,0,0,2,2,0,0,2,0,0,0,0,12,0,0
Massachusetts,441,0,0,54,84,169,0,0,1,2,2,0,3,124,1,1
Michigan,495,0,4,65,135,152,0,6,3,5,24,5,2,64,9,21
Minnesota,123,0,0,17,28,35,0,1,3,0,2,0,2,35,0,0
Mississippi,15,0,0,0,2,2,0,1,1,1,2,1,0,3,1,1
Missouri,106,0,1,27,33,29,0,0,1,0,2,0,1,10,0,2
Montana,35,0,0,10,8,0,0,0,0,0,3,0,0,14,0,0
Nebraska,57,0,0,3,16,9,0,0,0,2,9,0,0,8,0,10
Nevada,53,0,0,13,14,6,0,0,1,0,2,0,2,15,0,0
New Hampshire,17,0,0,0,4,5,0,0,0,0,1,0,0,7,0,0
New Jersey,478,1,0,11,40,152,0,0,4,1,1,0,1,267,0,0
New Mexico,63,1,0,15,22,4,0,1,1,1,2,1,0,12,2,1
New York,618,5,1,35,166,12,0,0,7,3,9,0,1,379,0,0
North Carolina,248,0,1,22,62,91,0,0,3,6,4,0,2,54,0,3
North Dakota,20,0,0,1,6,8,0,0,0,0,0,0,0,5,0,0
Ohio,428,0,4,26,67,107,0,4,9,20,80,7,1,52,8,43
Oklahoma,30,0,0,4,6,8,0,0,0,0,0,0,1,11,0,0
Oregon,205,0,0,30,53,39,0,0,1,1,9,0,4,60,1,7
Pennsylvania,50,0,0,6,6,18,0,0,0,1,0,0,6,13,0,0
Rhode Island,21,0,0,2,6,2,0,0,0,0,0,0,0,11,0,0
South Carolina,82,0,0,10,15,18,0,4,0,4,8,0,0,14,1,8
South Dakota,21,0,0,2,9,3,0,0,0,0,0,0,0,7,0,0
Tennessee,152,0,0,20,37,33,0,0,1,1,1,1,1,19,0,38
Texas,560,22,8,108,127,92,0,4,8,17,45,1,0,84,11,33
Utah,34,0,0,9,4,0,0,7,0,0,4,0,0,7,0,3
Vermont,37,0,0,2,7,1,0,0,0,0,2,0,1,23,0,1
Virginia,185,0,0,12,55,55,0,3,2,0,4,0,0,47,1,6
Washington,664,1,3,82,164,259,0,2,16,6,16,0,1,97,7,10
West Virginia,36,0,0,3,7,8,0,0,1,3,2,0,0,4,1,7
Wisconsin,83,0,3,5,25,15,0,3,1,2,6,0,0,14,2,7
Wyoming,6,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0
"Federal Bureau of Investigation, Field Offices",180,18,0,53,6,75,0,0,0,0,1,0,14,13,0,0
Pentagon Force Protection Agency,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
United States Army,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States Navy Law Enforcement,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
