Offense type,Total offenses,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Group of multiple races,Unknown race,Hispanic or Latino,Not Hispanic or Latino ,Group of multiple ethnicities,Unknown ethnicity,Unknown offender
Total,8559,3564,1385,76,57,19,268,784,504,1862,71,2775,2406
Crimes against persons:,5512,2865,1171,59,40,18,218,342,412,1531,60,2209,799
Murder and nonnegligent manslaughter,51,40,5,0,0,0,0,5,0,10,0,34,1
Rape,30,12,13,0,0,0,1,1,2,7,1,15,3
Aggravated assault,1158,631,295,15,5,7,55,65,135,372,13,418,85
Simple assault,2023,1023,505,27,15,7,109,146,171,543,32,831,191
Intimidation,2206,1132,343,17,20,4,52,122,99,587,14,887,516
"Human Trafficking, Commercial Sex Acts",3,3,0,0,0,0,0,0,2,1,0,0,0
Other,41,24,10,0,0,0,1,3,3,11,0,24,3
Crimes against property:,2811,532,173,10,13,1,48,441,80,246,8,444,1593
Robbery,125,26,48,1,2,1,15,12,19,15,2,56,20
Burglary,114,31,6,1,1,0,2,5,5,14,0,24,68
Larceny-theft,284,83,36,2,0,0,4,12,8,27,0,92,147
Motor vehicle theft,19,6,1,0,0,0,0,0,2,2,0,3,12
Arson,60,20,4,0,0,0,1,6,1,17,0,7,29
Destruction/damage/vandalism,2152,345,74,6,9,0,26,404,42,166,6,242,1288
Other,57,21,4,0,1,0,0,2,3,5,0,20,29
Crimes against society,236,167,41,7,4,0,2,1,12,85,3,122,14
