Bias motivation,"Total
offenses",Murder and nonnegligent manslaughter,Rape,Aggravated assault,Simple assault,Intimidation,"Human Trafficking, Commercial Sex Acts",Other Crime against persons,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Destruction/damage/vandalism,Other Crime against property,Crimes against society
Total,8559,51,30,1158,2023,2206,3,41,125,114,284,19,60,2152,57,236
Single-Bias Incidents,8302,51,30,1139,1976,2134,3,41,125,109,282,19,55,2050,57,231
Race/Ethnicity/Ancestry:,4784,31,12,726,1225,1385,0,13,62,46,149,13,16,901,35,170
Anti-White,755,0,6,108,240,143,0,3,16,10,56,4,1,72,15,81
Anti-Black or African American,2314,1,2,344,546,797,0,8,13,17,19,3,9,516,5,34
Anti-American Indian or Alaska Native,126,0,1,5,26,11,0,1,4,5,32,4,1,15,3,18
Anti-Asian,205,4,1,30,78,50,0,0,4,3,3,1,2,25,0,4
Anti-Native Hawaiian or Other Pacific Islander,25,0,0,4,4,1,0,0,0,0,4,0,0,1,2,9
"Anti-Multiple Races, Group",171,3,0,17,27,57,0,0,1,0,6,0,0,53,4,3
Anti-Arab,122,0,0,20,36,37,0,0,1,1,3,0,0,21,0,3
Anti-Hispanic or Latino,676,1,1,141,195,213,0,0,16,4,12,0,1,81,4,7
Anti-Other Race/Ethnicity/Ancestry,390,22,1,57,73,76,0,1,7,6,14,1,2,117,2,11
Religion:,1650,12,3,89,159,320,0,9,8,38,57,3,34,877,7,34
Anti-Jewish,995,6,1,23,82,164,0,0,2,9,12,0,10,684,0,2
Anti-Catholic,66,1,2,1,1,8,0,1,0,5,4,1,5,37,0,0
Anti-Protestant,24,0,0,1,1,2,0,0,0,2,6,0,1,10,0,1
Anti-Islamic (Muslim),219,1,0,42,41,92,0,0,2,3,1,0,4,31,2,0
Anti-Other Religion,108,1,0,9,8,20,0,6,0,6,7,0,9,38,1,3
"Anti-Multiple Religions, Group",42,3,0,1,3,8,0,0,1,0,2,0,0,21,0,3
Anti-Mormon,14,0,0,3,0,2,0,0,1,0,0,0,0,8,0,0
Anti-Jehovah's Witness,7,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0
"Anti-Eastern Orthodox (Russian, Greek, Other)",47,0,0,2,8,2,0,2,0,5,9,1,0,7,1,10
Anti-Other Christian,60,0,0,1,3,20,0,0,0,3,0,0,3,27,1,2
Anti-Buddhist,5,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0
Anti-Hindu,7,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1
Anti-Sikh,50,0,0,4,7,1,0,0,2,4,11,0,1,8,2,10
Anti-Atheism/Agnosticism/etc.,6,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2
Sexual Orientation:,1395,7,6,246,438,359,1,4,47,12,25,1,4,233,2,10
Anti-Gay (Male),867,2,4,170,292,216,0,3,33,4,6,1,2,128,1,5
Anti-Lesbian,142,0,0,33,39,43,0,0,2,1,5,0,0,18,0,1
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",342,5,1,38,95,92,1,1,10,4,12,0,2,79,1,1
Anti-Heterosexual,17,0,0,1,3,3,0,0,1,2,1,0,0,4,0,2
Anti-Bisexual,27,0,1,4,9,5,0,0,1,1,1,0,0,4,0,1
Disability:,169,0,1,20,47,15,2,7,4,5,37,2,0,12,7,10
Anti-Physical,53,0,0,4,10,3,2,3,4,1,14,2,0,5,3,2
Anti-Mental,116,0,1,16,37,12,0,4,0,4,23,0,0,7,4,8
Gender:,80,0,3,7,27,18,0,4,1,3,1,0,1,12,0,3
Anti-Male,18,0,1,1,8,2,0,0,1,2,1,0,0,1,0,1
Anti-Female,62,0,2,6,19,16,0,4,0,1,0,0,1,11,0,2
Gender Identity:,224,1,5,51,80,37,0,4,3,5,13,0,0,15,6,4
Anti-Transgender,173,1,3,48,64,32,0,2,3,3,5,0,0,9,2,1
Anti-Gender Non-Conforming,51,0,2,3,16,5,0,2,0,2,8,0,0,6,4,3
Multiple-Bias Incidents3,257,0,0,19,47,72,0,0,0,5,2,0,5,102,0,5
