Offense type,Total offenses,Individual,Business/financial institution,Government,Religious organization,Society/public1,Other/unknown/multiple
Total,8559,6731,501,265,216,236,610
Crimes against persons2,5512,5512,NA,NA,NA,NA,NA
Crimes against property:,2811,1219,501,265,216,0,610
Robbery,125,109,3,0,0,0,13
Burglary,114,74,20,2,12,0,6
Larceny-theft,284,184,79,5,2,0,14
Motor vehicle theft,19,19,0,0,0,0,0
Arson,60,27,5,0,25,0,3
Destruction/damage/vandalism,2152,760,385,258,177,0,572
Other2,57,46,9,0,0,0,2
Crimes against society2,236,NA,NA,NA,NA,236,NA
