Bias motivation,Total victims,Total number of adult victims,Total number of juvenile victims,Murder and nonnegligent manslaughter,Rape,Aggravated assault,Simple assault,Intimidation,Human Trafficking Commercial Sex Acts,Other,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Destruction/damage/vandalism,Other,Crimes against society
Total,8812,5909,719,51,30,1158,2023,2206,3,41,149,129,297,19,78,2316,76,236
Single-Bias Incidents,8552,5770,693,51,30,1139,1976,2134,3,41,149,123,294,19,73,2213,76,231
Race/Ethnicity/Ancestry:,4930,3625,435,31,12,726,1225,1385,0,13,75,54,156,13,22,995,53,170
Anti-White,775,566,41,0,6,108,240,143,0,3,17,13,60,4,3,82,15,81
Anti-Black or African American,2391,1747,256,1,2,344,546,797,0,8,17,19,19,3,11,568,22,34
Anti-American Indian or Alaska Native,135,85,6,0,1,5,26,11,0,1,5,7,34,4,3,16,4,18
Anti-Asian,215,172,10,4,1,30,78,50,0,0,6,4,3,1,2,32,0,4
Anti-Native Hawaiian or Other Pacific Islander,26,14,3,0,0,4,4,1,0,0,0,0,4,0,0,2,2,9
"Anti-Multiple Races, Group",173,106,9,3,0,17,27,57,0,0,1,0,7,0,0,54,4,3
Anti-Arab,126,93,8,0,0,20,36,37,0,0,2,1,3,0,0,24,0,3
Anti-Hispanic or Latino,693,569,75,1,1,141,195,213,0,0,19,4,12,0,1,95,4,7
Anti-Other Race/Ethnicity/Ancestry,396,273,27,22,1,57,73,76,0,1,8,6,14,1,2,122,2,11
Religion:,1715,699,80,12,3,89,159,320,0,9,11,42,58,3,43,925,7,34
Anti-Jewish,1032,328,33,6,1,23,82,164,0,0,2,9,12,0,19,712,0,2
Anti-Catholic,66,19,3,1,2,1,1,8,0,1,0,5,4,1,5,37,0,0
Anti-Protestant,24,13,0,0,0,1,1,2,0,0,0,2,6,0,1,10,0,1
Anti-Islamic (Muslim),227,151,30,1,0,42,41,92,0,0,2,4,1,0,4,38,2,0
Anti-Other Religion,108,49,2,1,0,9,8,20,0,6,0,6,7,0,9,38,1,3
"Anti-Multiple Religions, Group",44,16,1,3,0,1,3,8,0,0,2,0,2,0,0,22,0,3
Anti-Mormon,15,9,0,0,0,3,0,2,0,0,2,0,0,0,0,8,0,0
Anti-Jehovah's Witness,7,5,0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0
"Anti-Eastern Orthodox (Russian, Greek, Other)",49,28,6,0,0,2,8,2,0,2,0,6,9,1,0,8,1,10
Anti-Other Christian,65,27,2,0,0,1,3,20,0,0,0,5,0,0,3,30,1,2
Anti-Buddhist,5,2,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0
Anti-Hindu,7,4,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1
Anti-Sikh,60,47,3,0,0,4,7,1,0,0,3,4,12,0,1,16,2,10
Anti-Atheism/Agnosticism/etc.,6,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2
Sexual Orientation:,1429,1106,121,7,6,246,438,359,1,4,53,14,28,1,6,254,2,10
Anti-Gay (Male),883,699,66,2,4,170,292,216,0,3,37,6,7,1,2,137,1,5
Anti-Lesbian,143,110,18,0,0,33,39,43,0,0,2,1,5,0,0,19,0,1
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",357,266,27,5,1,38,95,92,1,1,11,4,13,0,4,90,1,1
Anti-Heterosexual,19,11,4,0,0,1,3,3,0,0,2,2,2,0,0,4,0,2
Anti-Bisexual,27,20,6,0,1,4,9,5,0,0,1,1,1,0,0,4,0,1
Disability:,170,115,29,0,1,20,47,15,2,7,4,5,38,2,0,12,7,10
Anti-Physical,53,38,8,0,0,4,10,3,2,3,4,1,14,2,0,5,3,2
Anti-Mental,117,77,21,0,1,16,37,12,0,4,0,4,24,0,0,7,4,8
Gender:,81,65,4,0,3,7,27,18,0,4,1,3,1,0,2,12,0,3
Anti-Male,18,17,0,0,1,1,8,2,0,0,1,2,1,0,0,1,0,1
Anti-Female,63,48,4,0,2,6,19,16,0,4,0,1,0,0,2,11,0,2
Gender Identity:,227,160,24,1,5,51,80,37,0,4,5,5,13,0,0,15,7,4
Anti-Transgender,175,124,20,1,3,48,64,32,0,2,5,3,5,0,0,9,2,1
Anti-Gender Non-Conforming,52,36,4,0,2,3,16,5,0,2,0,2,8,0,0,6,5,3
Multiple-Bias Incidents5,260,139,26,0,0,19,47,72,0,0,0,6,3,0,5,103,0,5
