Crimes,Category,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019
Total,total,7163,7722,7624,7783,6604,6628,6222,5928,5479,5850,6121,7175,7120,7314
Against persons,category,4208,4378,4347,4490,3875,3978,3754,3607,3303,3646,3765,4090,4571,4526
Murder,against persons,6,3,9,7,8,6,4,5,4,8,5,12,13,18
Rape,against persons,3,6,2,11,9,4,7,21,9,13,24,23,22,30
Aggravated assault,against persons,817,860,853,774,699,695,677,588,599,681,684,788,818,866
Simple assault,against persons,1324,1447,1410,1503,1446,1472,1336,1441,1307,1436,1458,1433,1653,1730
Intimidation,against persons,2044,2046,2045,2178,1700,1790,1720,1528,1378,1495,1577,1807,2039,1849
Other,against persons,14,16,28,17,13,11,10,24,6,13,17,27,26,33
Against property,category,3109,3593,3579,3608,2970,2861,2611,2424,2317,2338,2519,3115,2641,2811
Robbery,against property,127,142,178,145,124,146,131,126,122,120,134,157,132,125
Burglary,against property,136,155,159,158,137,125,124,174,162,147,123,145,131,114
Larceny-theft,against property,221,261,221,224,163,175,152,225,239,255,231,326,330,284
Motor vehicle theft,against property,18,25,22,26,11,16,6,20,22,22,20,41,42,19
Arson,against property,39,41,40,53,41,43,42,36,26,30,39,42,43,60
Vandalism,against property,2528,2911,2915,2970,2465,2321,2125,1783,1694,1698,1913,2325,1876,2152
Other,against property,40,58,44,32,29,35,31,60,52,66,59,79,87,57
Against society,category,81,38,19,18,26,14,20,79,53,65,82,238,289,236
