Crimes,Category,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019
Total,total,6804,7330,6965,6927,6225,6008,5731,5814,5192,5493,5770,6370,6266,6406
Against persons,category,5357,5770,5542,5613,5136,4873,4631,4440,3925,4230,4353,4442,4738,4857
Murder,against persons,17,4,14,8,47,9,7,5,5,9,9,15,12,19
Rape,against persons,3,8,4,20,16,7,10,25,10,11,29,30,21,36
Aggravated assault,against persons,1381,1606,1409,1405,1208,1144,1095,882,899,968,1031,1051,997,1094
Simple assault,against persons,1957,2116,2052,2062,2072,1972,1790,2013,1664,1797,1857,1725,1991,2030
Intimidation,against persons,1974,2018,2026,2093,1778,1726,1711,1494,1336,1433,1409,1588,1688,1640
Other,against persons,25,18,37,25,15,15,18,21,11,12,18,33,29,38
Against property,category,1641,1864,1793,1724,1424,1388,1228,1485,1419,1392,1571,1876,1569,1564
Robbery,against property,289,311,392,317,293,290,288,261,255,227,249,288,203,227
Burglary,against property,88,112,130,107,78,88,72,164,185,115,87,98,76,64
Larceny-theft,against property,146,182,126,144,126,141,88,168,152,177,173,249,198,179
Motor vehicle theft,against property,14,17,4,16,7,8,1,9,15,16,14,25,18,9
Arson,against property,32,30,33,42,22,30,20,21,20,21,33,34,22,40
Vandalism,against property,1072,1212,1108,1098,898,831,759,862,792,836,1015,1182,1052,1045
Other,against property,39,48,33,34,29,31,28,42,36,48,47,57,58,34
Against society,category,114,58,25,27,34,18,34,102,61,74,97,284,323,279
