Crimes,Category,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019
Total,total,8380,9080,9006,9168,7789,7699,7254,6933,6418,6885,7321,8437,8496,8559
Against persons,category,5190,5449,5408,5542,4793,4824,4623,4430,4048,4482,4720,5084,5566,5512
Murder,against persons,6,3,9,7,8,7,4,5,4,18,9,15,24,51
Rape,against persons,3,6,2,11,9,4,7,21,9,13,24,23,22,30
Aggravated assault,against persons,1062,1178,1116,1025,914,888,895,734,770,882,873,990,1026,1158
Simple assault,against persons,1566,1737,1684,1778,1691,1681,1595,1720,1514,1696,1687,1745,1895,2023
Intimidation,against persons,2539,2508,2565,2704,2158,2231,2106,1925,1745,1853,2109,2283,2560,2206
Other,against persons,14,17,32,17,13,13,16,25,6,20,18,28,39,44
Against property,category,3109,3593,3579,3608,2970,2861,2611,2424,2317,2338,2519,3115,2641,2811
Robbery,against property,127,142,178,145,124,146,131,126,122,120,134,157,132,125
Burglary,against property,136,155,159,158,137,125,124,174,162,147,123,145,131,114
Larceny-theft,against property,221,261,221,224,163,175,152,225,239,255,231,326,330,284
Motor vehicle theft,against property,18,25,22,26,11,16,6,20,22,22,20,41,42,19
Arson,against property,39,41,40,53,41,43,42,36,26,30,39,42,43,60
Vandalism,against property,2528,2911,2915,2970,2465,2321,2125,1783,1694,1698,1913,2325,1876,2152
Other,against property,40,58,44,32,29,35,31,60,52,66,59,79,87,57
Against society,category,81,38,19,18,26,14,20,79,53,65,82,238,289,236
