Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,2892,7,10,548,1002,1320,5,1284,71,75,149,14,13,916,46,53
Anti-White,561,5,5,120,241,188,2,284,30,22,78,6,2,122,24,31
Anti-Black,1516,2,2,273,455,782,2,596,14,17,14,2,7,537,5,10
Anti-Native,62,0,1,8,17,36,0,94,0,18,31,4,0,29,12,5
Anti-Asian,100,0,0,15,40,45,0,29,2,4,5,0,0,18,0,2
Anti-Multiple,102,0,0,17,36,49,0,76,4,5,0,1,2,62,2,0
Anti-Arab,41,0,0,8,16,17,0,15,1,0,0,0,1,13,0,0
Anti-Hispanic,362,0,1,91,129,140,1,83,19,2,5,0,0,57,0,4
Anti-Other,141,0,1,16,64,60,0,105,1,7,16,1,1,76,3,1
Religion,688,0,1,85,168,433,1,834,10,29,47,4,18,720,6,16
Anti-Jewish,311,0,0,12,61,238,0,522,3,9,15,1,4,489,1,1
Anti-Catholic,12,0,0,1,5,6,0,47,0,3,10,1,1,31,1,4
Anti-Protestant,5,0,0,1,3,1,0,14,0,1,4,0,1,8,0,1
Anti-Islamic,271,0,0,52,75,144,0,106,4,2,3,0,5,92,0,4
Anti-Others,31,0,0,13,10,8,0,58,1,6,1,0,0,49,1,1
Anti-Multiple,27,0,0,2,4,21,0,21,1,1,1,1,2,15,0,0
Anti-Atheism,1,0,1,0,0,0,0,5,0,0,1,0,1,2,1,0
Sexual Orientation,914,1,9,197,414,289,4,298,38,10,17,2,6,221,4,6
Anti-Male Homosexual,595,1,1,126,281,183,3,167,28,6,6,0,1,126,0,3
Anti-Female Homosexual,110,0,4,23,46,37,0,31,0,2,3,0,2,23,1,0
Anti-Homosexual,180,0,4,45,71,59,1,81,10,1,1,1,3,64,1,1
Anti-Heterosexual,10,0,0,1,2,7,0,11,0,0,5,0,0,6,0,2
Anti-Bisexual,19,0,0,2,14,3,0,8,0,1,2,1,0,2,2,0
Disability,51,0,2,5,33,9,2,20,1,3,8,0,0,6,2,5
Anti-Physical,22,0,0,2,15,4,1,6,0,2,2,0,0,1,1,1
Anti-Mental,29,0,2,3,18,5,1,14,1,1,6,0,0,5,1,4
Gender,25,1,0,6,11,7,0,11,0,3,0,0,0,7,1,0
Anti-Male,9,1,0,0,7,1,0,1,0,1,0,0,0,0,0,0
Anti-Female,16,0,0,6,4,6,0,10,0,2,0,0,0,7,1,0
Gender Identity,96,0,1,25,49,16,5,32,11,2,6,0,1,12,0,2
Anti-Transgender,91,0,1,24,47,14,5,20,11,1,2,0,1,5,0,0
Anti-Gender Non-Conforming,5,0,0,1,2,2,0,12,0,1,4,0,0,7,0,2
