Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,3379,31,12,726,1225,1385,13,1222,62,46,149,13,16,901,35,170
Anti-White,497,0,6,108,240,143,3,174,16,10,56,4,1,72,15,81
Anti-Black,1690,1,2,344,546,797,8,582,13,17,19,3,9,516,5,34
Anti-Native,43,0,1,5,26,11,1,64,4,5,32,4,1,15,3,18
Anti-Asian,163,4,1,30,78,50,0,38,4,3,3,1,2,25,0,4
Anti-Multiple,104,3,0,17,27,57,0,64,1,0,6,0,0,53,4,3
Anti-Arab,93,0,0,20,36,37,0,26,1,1,3,0,0,21,0,3
Anti-Hispanic,551,1,1,141,195,213,0,118,16,4,12,0,1,81,4,7
Anti-Other,229,22,1,57,73,76,1,149,7,6,14,1,2,117,2,11
Religion,583,12,3,89,159,320,9,1024,8,38,57,3,34,877,7,34
Anti-Jewish,276,6,1,23,82,164,0,717,2,9,12,0,10,684,0,2
Anti-Catholic,13,1,2,1,1,8,1,52,0,5,4,1,5,37,0,0
Anti-Protestant,4,0,0,1,1,2,0,19,0,2,6,0,1,10,0,1
Anti-Islamic,176,1,0,42,41,92,0,43,2,3,1,0,4,31,2,0
Anti-Others,38,1,0,9,8,20,6,61,0,6,7,0,9,38,1,3
Anti-Multiple,15,3,0,1,3,8,0,24,1,0,2,0,0,21,0,3
Anti-Atheism,0,0,0,0,0,0,0,4,0,0,2,1,0,1,0,2
Sexual Orientation,1056,7,6,246,438,359,4,324,47,12,25,1,4,233,2,10
Anti-Male Homosexual,684,2,4,170,292,216,3,175,33,4,6,1,2,128,1,5
Anti-Female Homosexual,115,0,0,33,39,43,0,26,2,1,5,0,0,18,0,1
Anti-Homosexual,231,5,1,38,95,92,1,108,10,4,12,0,2,79,1,1
Anti-Heterosexual,7,0,0,1,3,3,0,8,1,2,1,0,0,4,0,2
Anti-Bisexual,19,0,1,4,9,5,0,7,1,1,1,0,0,4,0,1
Disability,83,0,1,20,47,15,7,67,4,5,37,2,0,12,7,10
Anti-Physical,17,0,0,4,10,3,3,29,4,1,14,2,0,5,3,2
Anti-Mental,66,0,1,16,37,12,4,38,0,4,23,0,0,7,4,8
Gender,55,0,3,7,27,18,4,18,1,3,1,0,1,12,0,3
Anti-Male,12,0,1,1,8,2,0,5,1,2,1,0,0,1,0,1
Anti-Female,43,0,2,6,19,16,4,13,0,1,0,0,1,11,0,2
Gender Identity,174,1,5,51,80,37,4,42,3,5,13,0,0,15,6,4
Anti-Transgender,148,1,3,48,64,32,2,22,3,3,5,0,0,9,2,1
Anti-Gender Non-Conforming,26,0,2,3,16,5,2,20,0,2,8,0,0,6,4,3
