Bias motivation,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019
Total,6804,7330,6965,6927,6225,6008,5731,5814,5192,5493,5770,6370,6266,6406
Single-Bias Incidents,6800,7324,6962,6921,6219,6001,5724,5808,5176,5475,5727,6307,6188,6268
Race:,3913,3957,3707,3723,3241,2934,2787,2733,2431,3196,3383,3747,3634,3550
Anti-White,963,1074,828,811,753,649,594,680,635,681,831,758,754,645
Anti-Black,2581,2437,2509,2596,2160,1974,1935,1747,1442,1605,1588,1742,1707,1682
Anti-American Indian/Alaskan Native,73,72,63,61,88,43,60,108,108,113,118,228,163,101
Anti-Asian/Pacific Islander,163,181,165,140,108,156,120,130,187,108,123,108,125,153
"Anti-Multiple Races, Group",133,193,142,115,132,112,78,7,3,3,8,10,15,26
Religion:,580,705,576,632,586,606,590,61,56,83,104,100,91,82
Anti-Jewish,364,362,320,353,353,346,287,682,687,35,60,100,80,86
Anti-Catholic,22,44,31,35,25,22,21,393,380,325,380,491,495,547
Anti-Protestant,32,35,22,34,17,6,32,72,35,243,171,210,204,228
Anti-Islamic,89,147,104,85,95,125,138,17,12,809,859,1009,917,1012
Anti-Other Religion,54,63,62,90,51,72,74,127,148,387,421,523,484,602
"Anti-Multiple Religions, Group",18,49,32,33,38,30,37,44,70,29,45,59,36,42
Anti-Atheism/Agnosticism/etc.,1,5,5,2,7,5,1,25,29,18,12,15,22,19
Sexual Orientation:,1138,1380,1454,1460,1394,1516,1511,4,13,228,243,231,153,145
Anti-Male Homosexual,715,914,923,921,817,904,978,1514,1154,53,53,56,60,56
Anti-Female Homosexual,146,154,147,156,197,152,123,975,732,30,20,35,18,26
Anti-Homosexual,237,268,349,336,349,412,362,174,126,6,3,8,8,8
Anti-Heterosexual,18,26,19,25,14,21,19,324,249,0,1,6,4,7
Anti-Bisexual,22,18,16,22,17,27,29,20,10,36,23,14,26,34
Ethnicity/National Origin:,1115,1209,1155,1034,934,887,749,21,37,15,13,18,25,23
Anti-Hispanic,691,802,758,711,649,593,452,743,668,1,0,10,9,5
Anti-Other Ethnicity/National Origin,424,407,397,323,285,294,297,418,325,2,11,10,10,4
Disability:,54,73,70,72,64,58,87,325,343,4,10,18,49,36
Anti-Physical,21,17,27,26,25,28,29,77,74,0,4,6,13,5
Anti-Mental,33,56,43,46,39,30,58,23,25,1221,1225,1250,1268,1250
Multiple-Bias Incidents3,4,6,3,6,6,7,7,54,49,803,806,778,841,828
