Bias motivation,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,YEAROW
Total,8380,9080,9006,9168,7789,7699,7254,6933,6418,6885,7321,8437,8496,8559,TOTAL
Single-Bias Incidents,8373,9076,8999,9160,7775,7690,7240,6921,6385,6837,7227,8126,8327,8302,TOTAL
Race:,5835,5970,5980,5852,4866,4765,4356,4201,3871,4029,4229,4832,4954,4784,CATEGORY
Anti-White,935,1008,871,812,652,679,577,728,701,734,876,844,1001,755,RACE
Anti-Black,3200,3136,3275,3413,2724,2600,2494,2263,1955,2125,2122,2358,2325,2314,RACE
Anti-Native American,95,72,75,59,84,45,67,146,142,137,161,281,204,126,RACE
Anti-Asian,231,230,219,162,147,190,165,158,168,132,131,152,171,205,RACE
Arab,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,56,128,100,122,RACE
Anti-Hispanic,660,770,775,735,654,681,506,418,376,379,449,525,644,676,RACE
Anti-Other Ethnicity,484,463,481,413,396,359,385,376,414,331,247,312,317,390,RACE
Anti-Multiple Races,230,291,284,258,209,211,162,109,111,138,178,215,166,171,RACE
Religion:,1314,1597,1477,1606,1376,1409,1318,1163,1092,1354,1538,1679,1550,1650,CATEGORY
Anti-Jewish,900,1027,1010,1055,964,922,820,689,635,695,834,976,896,995,RELIGION
Anti-Catholic,61,81,65,75,55,61,68,74,67,59,63,75,59,66,RELIGION
Anti-Protestant,58,62,59,60,40,46,49,42,28,47,20,40,38,24,RELIGION
Anti-Islamic,146,191,133,123,128,186,175,165,178,301,381,314,225,219,RELIGION
Anti-Other Religion,102,140,140,212,119,134,139,135,120,104,90,82,96,108,RELIGION
Anti-Multiple Religions,42,88,64,67,60,53,63,51,51,57,48,54,50,42,RELIGION
Anti-Atheism,5,8,6,14,10,7,4,7,13,2,6,8,6,6,RELIGION
Sexual Orientation:,1171,1415,1460,1617,1436,1470,1508,1402,1178,1219,1218,1303,1404,1395,CATEGORY
Anti-Male Homosexual,713,881,864,948,798,851,871,849,683,758,765,758,839,867,SEXUAL
Anti-Female Homosexual,180,192,184,194,216,167,168,185,168,168,141,159,171,142,SEXUAL
Anti-Homosexual,228,293,362,415,376,403,429,317,278,235,262,321,353,342,SEXUAL
Anti-Heterosexual,23,28,27,33,21,21,17,24,18,23,23,37,20,17,SEXUAL
Anti-Bisexual,27,21,23,27,25,28,23,27,31,35,27,28,21,27,SEXUAL
Disability:,53,94,82,85,97,46,58,92,95,88,76,128,177,169,CATEGORY
Anti-Physical,21,20,20,28,25,22,23,23,26,52,29,35,67,53,DISABILITY
Anti-Mental,32,74,62,57,72,24,35,69,69,36,47,93,110,116,DISABILITY
Gender:,-1,-1,-1,-1,-1,-1,-1,30,40,29,36,53,58,80,CATEGORY
Anti-Male,-1,-1,-1,-1,-1,-1,-1,5,12,8,10,25,26,18,GENDER
Anti-Female,-1,-1,-1,-1,-1,-1,-1,25,28,21,26,28,32,62,GENDER
Gender Identity:,-1,-1,-1,-1,-1,-1,-1,33,109,118,130,131,184,224,CATEGORY
Anti-Transgender,-1,-1,-1,-1,-1,-1,-1,25,69,75,111,118,157,173,GENDERI
Anti-Gender Non-Conforming,-1,-1,-1,-1,-1,-1,-1,8,40,43,19,13,27,51,GENDERI
