Bias motivation,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019
Total,8804,9652,9535,9691,8336,8208,7713,7242,6727,7173,7615,8828,8819,8812
Single-Bias Incidents,8795,9642,9527,9683,8322,8199,7697,7230,6681,7121,7509,8493,8646,8552
Race:,4895,5020,4956,4934,4057,3949,3645,3563,3227,4216,4426,5060,5155,4930
Anti-White,975,1054,908,829,668,697,593,754,734,789,909,864,1038,775
Anti-Black,3322,3332,3434,3596,2902,2765,2619,2371,2022,2201,2220,2458,2426,2391
Anti-American Indian/Alaskan Native,97,75,76,63,87,47,70,159,148,141,169,321,209,135
Anti-Asian/Pacific Islander,240,239,234,170,149,203,175,164,201,136,137,165,177,215
"Anti-Multiple Races, Group",261,320,304,276,251,237,188,3,4,6,9,18,26,26
Religion:,1405,1750,1628,1732,1575,1552,1480,112,118,160,190,229,174,173
Anti-Jewish,977,1144,1127,1145,1132,1040,936,1223,1140,48,57,131,100,126
Anti-Catholic,61,86,70,89,59,65,84,737,648,392,483,552,671,693
Anti-Protestant,58,65,67,62,42,47,51,75,70,343,252,322,334,396
Anti-Islamic,151,208,142,130,132,197,185,47,28,1402,1584,1749,1617,1715
Anti-Other Religion,106,147,148,222,131,141,155,167,184,731,862,1017,920,1032
"Anti-Multiple Religions, Group",47,92,66,70,68,55,65,137,125,60,65,76,63,66
Anti-Atheism/Agnosticism/etc.,5,8,8,14,11,7,4,53,71,48,22,40,39,24
Sexual Orientation:,1213,1472,1512,1706,1482,1528,1572,7,14,307,388,325,236,227
Anti-Male Homosexual,743,913,890,981,817,876,891,1461,1248,107,91,86,109,108
Anti-Female Homosexual,186,202,197,198,227,181,174,890,703,58,48,57,52,44
Anti-Homosexual,233,307,375,466,391,420,465,191,174,8,8,15,11,15
Anti-Heterosexual,23,29,27,34,21,22,19,329,305,1,3,13,9,7
Anti-Bisexual,28,21,23,27,26,29,23,24,19,50,30,27,33,49
Ethnicity/National Origin:,1228,1305,1347,1226,1109,1122,939,27,47,18,39,32,43,65
Anti-Hispanic,722,819,830,792,692,747,534,821,821,1,1,12,11,5
Anti-Other Ethnicity/National Origin,506,486,517,434,417,375,405,432,389,5,12,15,14,7
Disability:,54,95,84,85,99,48,61,389,432,6,8,26,69,60
Anti-Physical,21,21,20,28,25,24,26,99,96,2,7,8,8,6
Anti-Mental,33,74,64,57,74,24,35,24,26,1263,1255,1338,1445,1429
Multiple-Bias Incidents3,9,10,8,8,14,9,16,75,70,786,787,774,863,883
