states,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019
Total,"8,380     ","9,080     ","9,006     ","9,168     ","7,789     ","7,699","7,254","6,933","6,418","6,885","7,321","8,437","8,496","8,559"
Alabama,0     ,1     ,6     ,12     ,10     ,24,96,6,10,12,17,9,0,0
Alaska,5     ,11     ,10     ,9     ,12     ,9,8,9,7,19,13,4,8,17
Arizona,173     ,215     ,205     ,220     ,274     ,300,231,212,304,322,291,328,211,254
Arkansas,146     ,133     ,38     ,109     ,85     ,85,18,34,16,8,15,8,14,10
California,"1,608     ","1,604     ","1,789     ","1,761     ","1,285     ","1,331","1,204","1,012",943,"1,017","1,142","1,270","1,222","1,221"
Colorado,153     ,174     ,213     ,190     ,269     ,196,223,154,129,143,126,136,176,257
Connecticut,141     ,180     ,146     ,194     ,222     ,168,164,172,144,107,124,122,92,86
Delaware,52     ,72     ,59     ,72     ,44     ,20,21,13,18,11,19,30,18,27
District of Columbia,59     ,64     ,46     ,48     ,41     ,66,105,80,87,74,127,207,236,247
Florida,259     ,257     ,193     ,182     ,147     ,146,139,82,72,83,110,166,166,131
Georgia,19     ,16     ,14     ,11     ,12     ,19,21,72,50,49,46,230,41,123
Idaho,39     ,25     ,48     ,44     ,42     ,34,49,37,40,46,35,61,26,38
Illinois,227     ,188     ,200     ,141     ,178     ,116,89,123,136,101,122,94,139,95
Indiana,60     ,43     ,48     ,72     ,68     ,116,120,78,60,76,163,62,226,87
Iowa,41     ,42     ,32     ,36     ,19     ,23,20,15,12,6,21,12,16,13
Kansas,93     ,135     ,137     ,131     ,143     ,73,83,74,86,81,70,83,87,99
Kentucky,47     ,70     ,137     ,71     ,176     ,205,186,209,199,218,241,432,288,179
Louisiana,20     ,27     ,34     ,76     ,21     ,17,7,23,11,45,33,30,59,33
Maine,64     ,74     ,82     ,74     ,56     ,76,66,28,34,45,45,40,22,24
Maryland,208     ,218     ,153     ,105     ,107     ,82,64,58,18,43,40,53,52,18
Massachusetts,446     ,448     ,419     ,386     ,382     ,360,424,393,418,483,444,486,474,441
Michigan,744     ,739     ,734     ,659     ,409     ,372,417,399,354,373,459,515,495,495
Minnesota,230     ,162     ,183     ,195     ,189     ,140,186,167,117,132,165,169,159,123
Mississippi,0     ,0     ,0     ,5     ,2     ,11,1,4,1,0,10,4,5,15
Missouri,113     ,97     ,135     ,126     ,167     ,167,147,116,106,137,114,133,80,106
Montana,77     ,29     ,28     ,28     ,31     ,37,23,37,43,47,20,18,7,35
Nebraska,76     ,62     ,48     ,12     ,82     ,62,39,39,61,19,35,46,35,57
Nevada,101     ,142     ,82     ,102     ,64     ,76,70,80,29,70,49,7,37,53
New Hampshire,36     ,39     ,50     ,90     ,27     ,35,26,23,22,15,40,16,19,17
New Jersey,775     ,802     ,773     ,744     ,549     ,557,553,447,347,349,308,502,577,478
New Mexico,21     ,22     ,17     ,10     ,18     ,25,35,12,13,14,36,14,34,63
New York,252     ,537     ,498     ,586     ,648     ,710,566,655,558,515,598,559,525,618
North Carolina,134     ,141     ,85     ,183     ,125     ,132,129,140,186,208,208,230,202,248
North Dakota,13     ,16     ,19     ,20     ,14     ,13,32,63,51,54,8,17,10,20
Ohio,222     ,350     ,373     ,415     ,342     ,295,277,447,474,470,508,449,390,428
Oklahoma,49     ,76     ,37     ,58     ,68     ,60,38,45,37,47,35,49,25,30
Oregon,160     ,174     ,200     ,217     ,167     ,161,151,75,38,79,122,169,139,205
Pennsylvania,127     ,113     ,96     ,83     ,53     ,69,60,110,58,71,67,93,75,50
Rhode Island,15     ,20     ,47     ,37     ,38     ,21,20,8,5,19,13,11,15,21
South Carolina,123     ,128     ,152     ,181     ,146     ,129,157,59,60,69,23,94,123,82
South Dakota,12     ,79     ,39     ,49     ,58     ,56,23,18,18,20,21,19,26,21
Tennessee,157     ,241     ,285     ,299     ,185     ,163,162,245,220,294,190,179,207,152
Texas,313     ,292     ,295     ,278     ,185     ,202,189,161,165,219,224,219,500,560
Utah,62     ,45     ,64     ,56     ,54     ,67,79,87,58,56,72,94,36,34
Vermont,42     ,26     ,21     ,25     ,28     ,22,9,13,15,8,26,36,48,37
Virginia,328     ,389     ,355     ,295     ,170     ,204,166,126,131,184,150,214,159,185
Washington,226     ,215     ,232     ,314     ,272     ,301,252,344,367,326,482,613,666,664
West Virginia,50     ,37     ,47     ,47     ,27     ,36,21,63,28,49,48,34,51,36
Wisconsin,59     ,103     ,79     ,98     ,61     ,108,85,65,62,47,42,48,59,83
Wyoming,3     ,7     ,23     ,12     ,17     ,2,3,1,0,2,4,23,0,6
