Participating state,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total,2.923596943,3.027207907,2.929716336,2.889205095,2.367463647,2.325603705,2.175444227,2.32949108,2.009382052,1.839047095,2.060700603,2.112044255,2.341437555,2.320168029,2.395800066
Alabama,0,0.1441877902,0.2512144123,0.3925033291,0.2802571889,0.5049514476,3.631611118,4.248238751,0.5228247875,1.132207919,0.7986289139,1.380889865,0.308396189,0,0
Alaska,1.44870323,2.112571915,2.815493662,2.791103358,3.104690152,2.411016278,2.62360457,1.903154796,1.094466106,0.8192569067,1.088701995,1.489372649,0.5433269266,0.9540073077,1.511420846
Arizona,3.283414332,2.530017211,2.7975965,2.873238317,3.365625408,3.729193549,3.084317035,2.946011001,2.437664592,4.119010492,4.167371295,3.348051136,3.90775623,2.326466287,3.26770612
Arkansas,7.865950122,4.124880953,1.19340589,3.288077107,2.723303529,2.288423447,0.3922652426,1.091486984,0.9610127793,0.3005464686,0.1815183136,0.4205148153,0.24680563,0.4521802042,0.3198752344
California,3.816545969,3.557562249,3.830032461,3.75714163,2.746088488,2.935461145,2.75921264,2.398919105,2.199639604,1.956059532,2.138623369,2.372419812,2.767578271,2.689747313,2.569453661
Colorado,2.76722665,2.920640484,3.295802036,3.102017227,4.199695522,3.137326484,3.725591368,3.699251988,2.479046249,1.822118699,1.964797801,1.884136477,1.901130796,2.19520368,3.680765459
Connecticut,2.770676097,3.738445777,3.626179186,4.684038738,5.627737127,4.112926985,3.909840202,4.167905616,4.065762161,3.643729734,2.736044116,2.963831194,3.093486845,2.571376328,2.252603387
Delaware,5.334762259,5.624059728,5.739640535,6.643057089,4.180214705,2.227335194,1.653557629,1.090403144,1.296247687,1.389461893,1.162871828,1.57552268,3.014744178,1.66241884,2.259274321
District of Columbia,8.719013444,9.801729919,6.969328157,7.096596506,6.003431962,9.472797284,13.43050764,11.38658565,11.13776957,10.62387975,9.669338379,16.8827165,27.81092033,30.32222705,31.45594255
Florida,1.301838608,1.197007017,0.9144991751,0.8390185523,0.7047873112,0.7270620348,0.649232984,0.7490481627,0.3906344567,0.3283777095,1.344066702,1.068079498,0.7067883955,0.673913644,0.5310537254
Georgia,0.8827999923,1.134429949,1.9101046,1.623982981,0.1411783671,0.2221120372,0.1976663051,0.2728558339,0.7291171261,0.4997163196,0.5506033236,0.4746756292,0.301742968,0.4118852671,1.097861549
Idaho,2.31430507,1.574624178,2.53703402,1.974640352,2.267219696,1.801506188,2.084625696,2.194025856,1.985510735,1.52997746,2.055032563,1.604144634,3.119006579,4.48056504,4.205550917
Illinois,3.328545247,2.963450961,3.376622851,1.491014216,1.518749135,0.8954186287,0.6928330637,0.6830548326,0.8557783622,0.9060969351,0.7199419439,0.8970813338,0.6682839137,1.322640266,1.346497591
